gene,biological_process,molecular_function,systematic_name,a_number,nutrient,growth_rate,expression
SAH1,methionine metabolism*,adenosylhomocysteinase activity,YER043C,1081275,G,0.05,-1.04
,biological process unknown,molecular function unknown,YKL027W,1083893,G,0.05,-0.52
NSR1,rRNA processing*,RNA binding*,YGR159C,1085027,G,0.05,-0.46
,biological process unknown,molecular function unknown,YCR051W,1082939,G,0.05,-0.09
TUF1,translational elongation,GTPase activity*,YOR187W,1082448,G,0.05,-0.7
GCS1,ER to Golgi transport*,actin binding*,YDL226C,1083988,G,0.05,-0.58
CHS7,ER to Golgi transport*,molecular function unknown,YHR142W,1081043,G,0.05,-0.56
,sulfur metabolism,carbon-sulfur lyase activity,YML082W,1086323,G,0.05,-0.4
MSK1,lysyl-tRNA aminoacylation,lysine-tRNA ligase activity,YNL073W,1081197,G,0.05,-0.62
RPL5,protein biosynthesis*,structural constituent of ribosome*,YPL131W,1081426,G,0.05,-0.34
TAZ1,phospholipid biosynthesis*,acyltransferase activity,YPR140W,1086482,G,0.05,-0.19
ADH6,aldehyde metabolism*,alcohol dehydrogenase (NADP+) activity,YMR318C,1082463,G,0.05,-0.21
SCD6,RNA metabolism,RNA binding,YPR129W,1084691,G,0.05,-0.4
TIM17,mitochondrial matrix protein import,protein transporter activity,YJL143W,1085953,G,0.05,-0.5
,,,YBL100C,1084751,G,0.05,-0.82
ADO1,purine base metabolism,adenosine kinase activity,YJR105W,1084911,G,0.05,-0.62
DPM1,protein amino acid N-linked glycosylation*,"transferase activity, transferring glycosyl groups*",YPR183W,1080722,G,0.05,-0.32
RPE1,pentose-phosphate shunt,ribulose-phosphate 3-epimerase activity,YJL121C,1082239,G,0.05,-0.52
SAM1,methionine metabolism,methionine adenosyltransferase activity,YLR180W,1081262,G,0.05,-1.43
RPP0,translational elongation*,structural constituent of ribosome,YLR340W,1086258,G,0.05,-0.13
SRP40,nucleocytoplasmic transport,unfolded protein binding,YKR092C,1085615,G,0.05,-1.06
THR1,methionine metabolism*,homoserine kinase activity,YHR025W,1086194,G,0.05,-0.91
STE24,peptide pheromone maturation,metalloendopeptidase activity*,YJR117W,1081154,G,0.05,-0.59
YIF1,ER to Golgi transport,molecular function unknown,YNL263C,1082704,G,0.05,-0.46
HEM13,heme biosynthesis,coproporphyrinogen oxidase activity,YDR044W,1081254,G,0.05,-1.39
MIS1,"nucleobase, nucleoside, nucleotide and nucleic acid metabolism*",formate-tetrahydrofolate ligase activity*,YBR084W,1085725,G,0.05,-0.62
LCB1,sphingolipid biosynthesis,serine C-palmitoyltransferase activity,YMR296C,1086775,G,0.05,-0.54
,biological process unknown,molecular function unknown,YPR114W,1080698,G,0.05,-0.97
CDC14,protein amino acid dephosphorylation*,phosphoprotein phosphatase activity,YFR028C,1083054,G,0.05,-0.67
TRR1,regulation of cell redox homeostasis,thioredoxin-disulfide reductase activity,YDR353W,1084163,G,0.05,-0.75
LOT5,biological process unknown,molecular function unknown,YKL183W,1084614,G,0.05,-0.74
TIM22,mitochondrial inner membrane protein import,protein transporter activity,YDL217C,1080645,G,0.05,-0.68
SHM2,one-carbon compound metabolism,glycine hydroxymethyltransferase activity,YLR058C,1084553,G,0.05,-1.1
HCR1,protein biosynthesis*,translation initiation factor activity*,YLR192C,1083345,G,0.05,-0.7
SCT1,phospholipid biosynthesis,glycerol-3-phosphate O-acyltransferase activity,YBL011W,1083360,G,0.05,-0.69
MAS6,mitochondrial matrix protein import,protein transporter activity,YNR017W,1084727,G,0.05,-0.95
NET1,regulation of exit from mitosis*,ribosomal DNA (rDNA) binding,YJL076W,1083759,G,0.05,-0.38
YAP1802,endocytosis,clathrin binding,YGR241C,1084543,G,0.05,-0.16
,translational initiation,translation initiation factor activity,YGR054W,1081056,G,0.05,-1
KEL3,biological process unknown,molecular function unknown,YPL263C,1085957,G,0.05,-0.84
NAT1,protein amino acid acetylation,peptide alpha-N-acetyltransferase activity,YDL040C,1084358,G,0.05,-0.52
RPP1,rRNA processing*,ribonuclease P activity*,YHR062C,1085583,G,0.05,-1.01
DUS3,tRNA modification,tRNA dihydrouridine synthase activity,YLR401C,1081407,G,0.05,-1.08
,cysteine metabolism*,cysteine-tRNA ligase activity,YNL247W,1080862,G,0.05,-0.5
LSG1,sporulation (sensu Fungi)*,GTPase activity,YGL099W,1084891,G,0.05,-0.62
RPG1,translational initiation,translation initiation factor activity,YBR079C,1081806,G,0.05,-0.87
GAL83,protein amino acid phosphorylation*,AMP-activated protein kinase activity,YER027C,1081826,G,0.05,-0.76
HEK2,telomerase-dependent telomere maintenance*,mRNA binding,YBL032W,1086136,G,0.05,-0.93
LIA1,microtubule cytoskeleton organization and biogenesis,protein binding,YJR070C,1083621,G,0.05,-0.74
UTP18,35S primary transcript processing,molecular function unknown,YJL069C,1086043,G,0.05,-0.65
RPL8B,protein biosynthesis,structural constituent of ribosome,YLL045C,1082276,G,0.05,-0.72
PLB2,glycerophospholipid metabolism,lysophospholipase activity,YMR006C,1086797,G,0.05,-1.27
TOM40,mitochondrial matrix protein import,protein transporter activity,YMR203W,1083860,G,0.05,-1.03
GUP1,glycerol transport*,O-acyltransferase activity,YGL084C,1081459,G,0.05,-0.97
SEC23,ER to Golgi transport*,GTPase activator activity,YPR181C,1082351,G,0.05,-1.01
,biological process unknown,molecular function unknown,YBR220C,1086451,G,0.05,-1.06
ALG12,protein amino acid glycosylation*,"alpha-1,6-mannosyltransferase activity",YNR030W,1086456,G,0.05,-0.92
SUR2,sphingolipid biosynthesis*,sphingosine hydroxylase activity,YDR297W,1084491,G,0.05,-1.5
,,,YBL083C,1083288,G,0.05,-0.72
ALG3,protein amino acid glycosylation*,"alpha-1,3-mannosyltransferase activity",YBL082C,1085819,G,0.05,-1
SEC61,protein-ER targeting*,protein transporter activity,YLR378C,1083497,G,0.05,-0.95
,biological process unknown,molecular function unknown,YHR198C,1083632,G,0.05,-0.3
,biological process unknown,molecular function unknown,YLR253W,1081115,G,0.05,-0.53
,transport,transporter activity,YMR166C,1085264,G,0.05,-1.04
MSY1,tyrosyl-tRNA aminoacylation,tyrosine-tRNA ligase activity,YPL097W,1083638,G,0.05,-0.55
EHD3,endocytosis*,3-hydroxyisobutyryl-CoA hydrolase activity,YDR036C,1085145,G,0.05,-0.09
SHY1,aerobic respiration,unfolded protein binding,YGR112W,1083504,G,0.05,-0.12
RML2,protein biosynthesis*,structural constituent of ribosome,YEL050C,1085063,G,0.05,-0.75
SUC2,sucrose catabolism,beta-fructofuranosidase activity,YIL162W,1085379,G,0.05,-1.26
MSS51,protein biosynthesis*,molecular function unknown,YLR203C,1084643,G,0.05,-0.57
MRP4,protein biosynthesis,structural constituent of ribosome*,YHL004W,1081293,G,0.05,-1.13
YAH1,heme a biosynthesis,electron carrier activity,YPL252C,1085683,G,0.05,-0.56
SLM5,protein biosynthesis,asparagine-tRNA ligase activity,YCR024C,1083566,G,0.05,-0.81
ATP12,protein complex assembly,unfolded protein binding,YJL180C,1086335,G,0.05,-1
TOM70,mitochondrial matrix protein import*,protein transporter activity,YNL121C,1086536,G,0.05,-0.83
MRPS28,protein biosynthesis*,structural constituent of ribosome*,YDR337W,1083994,G,0.05,-0.78
ATP11,protein complex assembly,unfolded protein binding,YNL315C,1084138,G,0.05,-1.06
MSS116,RNA splicing,"RNA splicing factor activity, transesterification mechanism*",YDR194C,1084040,G,0.05,-0.94
MSE1,protein biosynthesis*,glutamate-tRNA ligase activity,YOL033W,1084905,G,0.05,-0.65
TCM62,protein complex assembly,unfolded protein binding,YBR044C,1085080,G,0.05,-0.54
MTO1,protein biosynthesis*,molecular function unknown,YGL236C,1084302,G,0.05,-0.81
MRPL4,protein biosynthesis,structural constituent of ribosome,YLR439W,1082508,G,0.05,-1.16
SCO1,protein complex assembly*,thioredoxin peroxidase activity*,YBR037C,1084182,G,0.05,-0.87
MRP20,protein biosynthesis,structural constituent of ribosome,YDR405W,1083481,G,0.05,-0.94
MAS2,mitochondrial protein processing,mitochondrial processing peptidase activity,YHR024C,1080889,G,0.05,-0.81
MEF1,translational elongation,translation elongation factor activity,YLR069C,1086691,G,0.05,-0.88
COX10,protein complex assembly*,protoheme IX farnesyltransferase activity,YPL172C,1081425,G,0.05,-1.16
MST1,threonyl-tRNA aminoacylation,threonine-tRNA ligase activity,YKL194C,1086300,G,0.05,-0.73
RMD9,biological process unknown,molecular function unknown,YGL107C,1083144,G,0.05,-0.9
MRP13,protein biosynthesis,structural constituent of ribosome,YGR084C,1085988,G,0.05,-1.12
BCS1,aerobic respiration*,ATPase activity,YDR375C,1081439,G,0.05,-1.05
MRPL40,protein biosynthesis,structural constituent of ribosome,YPL173W,1085342,G,0.05,-1.29
MRPL1,protein biosynthesis*,structural constituent of ribosome,YDR116C,1083757,G,0.05,-1.03
MRPL8,protein biosynthesis*,structural constituent of ribosome,YJL063C,1084018,G,0.05,-1.38
MRPL7,protein biosynthesis,structural constituent of ribosome,YDR237W,1085151,G,0.05,-1.46
YML6,protein biosynthesis*,structural constituent of ribosome,YML025C,1084213,G,0.05,-1.15
SMY2,cytoskeleton organization and biogenesis,molecular function unknown,YBR172C,1086026,G,0.05,-0.78
,rRNA modification,rRNA (guanine-N1-)-methyltransferase activity,YOR201C,1083642,G,0.05,-0.66
HEM2,heme biosynthesis,porphobilinogen synthase activity,YGL040C,1081922,G,0.05,-1.08
COX18,cytochrome c oxidase complex assembly,protein transporter activity,YGR062C,1081700,G,0.05,-0.67
MRPL28,protein biosynthesis,structural constituent of ribosome,YDR462W,1083077,G,0.05,-0.59
MRPL3,protein biosynthesis,structural constituent of ribosome,YMR024W,1081136,G,0.05,-0.81
MRPL19,protein biosynthesis,structural constituent of ribosome,YNL185C,1085412,G,0.05,-0.87
COX23,aerobic respiration,molecular function unknown,YHR116W,1086916,G,0.05,-1.03
,biological process unknown,molecular function unknown,YGR021W,1083615,G,0.05,-1.55
RSM25,protein biosynthesis,structural constituent of ribosome,YIL093C,1086183,G,0.05,-1.59
IMG1,protein biosynthesis,structural constituent of ribosome,YCR046C,1081372,G,0.05,-0.92
RSM7,protein biosynthesis,structural constituent of ribosome,YJR113C,1084718,G,0.05,-0.72
CAF17,biological process unknown,molecular function unknown,YJR122W,1082473,G,0.05,-0.1
MRF1,protein biosynthesis*,translation release factor activity,YGL143C,1080921,G,0.05,-0.52
,biological process unknown,molecular function unknown,YPL103C,1085184,G,0.05,-0.73
DIA4,aerobic respiration*,serine-tRNA ligase activity,YHR011W,1080841,G,0.05,-0.65
SMF1,manganese ion transport,"di-, tri-valent inorganic cation transporter activity*",YOL122C,1084786,G,0.05,-0.58
SMM1,tRNA modification*,tRNA dihydrouridine synthase activity,YNR015W,1081636,G,0.05,-0.3
LYP1,basic amino acid transport,basic amino acid transporter activity,YNL268W,1082852,G,0.05,-0.63
THR4,endocytosis*,threonine synthase activity,YCR053W,1081180,G,0.05,-0.13
ARO2,aromatic amino acid family biosynthesis,chorismate synthase activity*,YGL148W,1085795,G,0.05,0.04
IZH3,lipid metabolism*,metal ion binding,YLR023C,1083580,G,0.05,-0.65
PET112,protein biosynthesis*,molecular function unknown,YBL080C,1083760,G,0.05,-0.55
SSC1,protein folding*,ATPase activity*,YJR045C,1081962,G,0.05,-0.23
MAL33,"regulation of transcription, DNA-dependent*",transcription factor activity,YBR297W,1085947,G,0.05,-0.69
CBP2,Group I intron splicing,"RNA splicing factor activity, transesterification mechanism",YHL038C,1082796,G,0.05,-0.14
IFM1,translational initiation,RNA binding*,YOL023W,1083629,G,0.05,-0.61
NAM9,protein biosynthesis,structural constituent of ribosome,YNL137C,1081879,G,0.05,-0.73
PNT1,inner mitochondrial membrane organization and biogenesis,molecular function unknown,YOR266W,1085779,G,0.05,-0.8
RIM2,mitochondrial genome maintenance,transporter activity,YBR192W,1086262,G,0.05,-0.81
FUN30,chromosome organization and biogenesis (sensu Eukaryota),molecular function unknown,YAL019W,1086473,G,0.05,-0.44
STE23,proteolysis and peptidolysis*,metallopeptidase activity,YLR389C,1086477,G,0.05,-0.66
RGD1,osmosensory signaling pathway,Rho GTPase activator activity,YBR260C,1084920,G,0.05,-0.64
STM1,telomere maintenance*,DNA binding*,YLR150W,1083231,G,0.05,-0.57
,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity,YBR261C,1084603,G,0.05,-0.54
,aerobic respiration,amidase activity,YMR293C,1081835,G,0.05,-0.24
IMD2,GTP biosynthesis,IMP dehydrogenase activity,YHR216W,1082542,G,0.05,-0.56
BNA6,NAD biosynthesis,nicotinate-nucleotide diphosphorylase (carboxylating) activity,YFR047C,1081750,G,0.05,-0.51
PBS2,protein amino acid phosphorylation*,MAP kinase kinase activity*,YJL128C,1084849,G,0.05,-0.31
ORC2,DNA replication initiation*,DNA replication origin binding,YBR060C,1084742,G,0.05,-0.62
HXK2,replicative cell aging*,hexokinase activity,YGL253W,1081782,G,0.05,-1.58
PRT1,translational initiation,translation initiation factor activity,YOR361C,1083022,G,0.05,-0.63
PIN4,G2/M transition of mitotic cell cycle*,molecular function unknown,YBL051C,1084089,G,0.05,-0.71
FRS2,phenylalanyl-tRNA aminoacylation,phenylalanine-tRNA ligase activity,YFL022C,1083041,G,0.05,-0.86
MRS3,RNA splicing*,iron ion transporter activity*,YJL133W,1082354,G,0.05,-0.73
,biological process unknown,molecular function unknown,YAR075W,1081996,G,0.05,-2.14
NOG1,ribosome-nucleus export,GTPase activity,YPL093W,1085838,G,0.05,-0.73
TUB3,mitotic sister chromatid segregation*,structural constituent of cytoskeleton,YML124C,1084101,G,0.05,-1.14
YHP1,negative regulation of transcription from RNA polymerase II promoter*,DNA binding*,YDR451C,1084819,G,0.05,-1.1
RPC53,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity,YDL150W,1080941,G,0.05,-0.97
RNH201,DNA replication,ribonuclease H activity,YNL072W,1080712,G,0.05,-0.82
PUF4,"mRNA catabolism, deadenylylation-dependent decay*",mRNA binding,YGL014W,1083459,G,0.05,-0.36
MNL1,ER-associated protein catabolism,carbohydrate binding,YHR204W,1086188,G,0.05,-0.8
HSL7,regulation of progression through cell cycle*,protein-arginine N-methyltransferase activity,YBR133C,1082505,G,0.05,-0.56
,biological process unknown,molecular function unknown,YOR091W,1083875,G,0.05,-0.7
,biological process unknown,molecular function unknown,YLR091W,1086389,G,0.05,-0.61
SMF2,manganese ion transport,"di-, tri-valent inorganic cation transporter activity*",YHR050W,1081332,G,0.05,-0.72
MSL5,"nuclear mRNA splicing, via spliceosome",RNA binding,YLR116W,1082959,G,0.05,-0.03
SLM3,protein biosynthesis*,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity,YDL033C,1083417,G,0.05,-0.55
SPE2,pantothenate biosynthesis*,adenosylmethionine decarboxylase activity,YOL052C,1084332,G,0.05,-0.43
HEM1,heme biosynthesis,5-aminolevulinate synthase activity,YDR232W,1085989,G,0.05,0.09
COX19,cytochrome c oxidase complex assembly*,metal ion transporter activity,YLL018C-A,1081196,G,0.05,-0.19
DAT1,negative regulation of transcription from RNA polymerase II promoter,AT DNA binding,YML113W,1083941,G,0.05,-0.17
PAN1,endocytosis*,"protein binding, bridging",YIR006C,1085563,G,0.05,-0.26
NPL3,mRNA-nucleus export,mRNA binding*,YDR432W,1082971,G,0.05,-0.58
ERV46,ER to Golgi transport,molecular function unknown,YAL042W,1080884,G,0.05,-0.31
CYC3,cytochrome c-heme linkage,holocytochrome-c synthase activity,YAL039C,1084857,G,0.05,-0.91
SEC16,vesicle-mediated transport*,structural molecule activity,YPL085W,1083376,G,0.05,-0.28
NUP42,mRNA-nucleus export*,structural molecule activity,YDR192C,1083509,G,0.05,-0.38
MKK1,protein amino acid phosphorylation*,MAP kinase kinase activity,YOR231W,1083101,G,0.05,-0.18
PTA1,mRNA polyadenylylation*,RNA binding,YAL043C,1086720,G,0.05,-0.44
ANP1,protein amino acid N-linked glycosylation,mannosyltransferase activity*,YEL036C,1082890,G,0.05,-0.19
YCK1,protein amino acid phosphorylation*,casein kinase I activity,YHR135C,1086238,G,0.05,-0.1
PCT1,phosphatidylcholine biosynthesis*,choline-phosphate cytidylyltransferase activity,YGR202C,1082287,G,0.05,0.09
SIS2,G1/S transition of mitotic cell cycle*,phosphopantothenoylcysteine decarboxylase activity*,YKR072C,1081300,G,0.05,0.16
ILV6,branched chain family amino acid biosynthesis,enzyme regulator activity*,YCL009C,1083105,G,0.05,0.23
,lipid metabolism*,aminopeptidase activity*,YNL045W,1084554,G,0.05,0.31
TKL1,pentose-phosphate shunt,transketolase activity,YPR074C,1080975,G,0.05,0.13
SKG3,biological process unknown,molecular function unknown,YLR187W,1081353,G,0.05,-0.17
HST3,chromatin silencing at telomere*,DNA binding,YOR025W,1081050,G,0.05,-0.12
RSC1,chromatin remodeling,molecular function unknown,YGR056W,1086459,G,0.05,-0.46
TAF4,transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity,YMR005W,1086905,G,0.05,-0.22
PEX2,peroxisome organization and biogenesis,protein binding,YJL210W,1082189,G,0.05,0.35
CAF4,"regulation of transcription, DNA-dependent",protein binding,YKR036C,1082707,G,0.05,0.6
ATO3,transport*,transporter activity,YDR384C,1086121,G,0.05,2.27
,,,YOR203W,1086858,G,0.05,0.59
MCH1,transport,transporter activity*,YDL054C,1085066,G,0.05,0.53
TRP5,tryptophan biosynthesis,tryptophan synthase activity,YGL026C,1081328,G,0.05,0.55
ILV1,branched chain family amino acid biosynthesis,threonine ammonia-lyase activity,YER086W,1086518,G,0.05,-0.1
MET13,methionine metabolism*,structural constituent of ribosome*,YGL125W,1083089,G,0.05,-0.17
,biological process unknown,molecular function unknown,YPL264C,1086558,G,0.05,0.28
YMC1,transport,transporter activity,YPR058W,1082769,G,0.05,0.6
ARG8,arginine biosynthesis*,acetylornithine transaminase activity,YOL140W,1082543,G,0.05,0.69
KRS1,lysyl-tRNA aminoacylation,lysine-tRNA ligase activity,YDR037W,1081681,G,0.05,0.43
ASN1,asparagine biosynthesis,asparagine synthase (glutamine-hydrolyzing) activity,YPR145W,1084271,G,0.05,0.84
TRP4,tryptophan biosynthesis,anthranilate phosphoribosyltransferase activity,YDR354W,1084407,G,0.05,0.32
LEU9,leucine biosynthesis,2-isopropylmalate synthase activity,YOR108W,1084759,G,0.05,-0.08
HIS3,histidine biosynthesis,imidazoleglycerol-phosphate dehydratase activity,YOR202W,1086887,G,0.05,0.27
